symbol
NVDA
AAPL
GOOGL
GOOG
MSFT
AMZN
AVGO
META
TSLA
BRK-B
WMT
LLY
JPM
XOM
V
JNJ
MU
MA
ORCL
COST
CVX
NFLX
PLTR
ABBV
BAC
PG
AMD
HD
CAT
KO
CSCO
GE
LRCX
AMAT
MRK
RTX
MS
PM
GS
UNH
WFC
GEV
IBM
TMUS
LIN
INTC
MCD
VZ
AXP
PEP
T
KLAC
C
AMGN
NEE
ABT
CRM
TMO
DIS
TJX
TXN
ANET
ISRG
GILD
SCHW
APH
BA
COP
APP
UBER
DE
ADI
BLK
PFE
LMT
HON
UNP
ETN
BKNG
QCOM
WELL
DHR
PANW
LOW
SPGI
CB
SYK
INTU
ACN
PLD
PGR
BMY
NOW
PH
COF
VRTX
GLW
MDT
HCA
CME
MCK
MO
NEM
SBUX
CEG
SO
CRWD
DELL
CMCSA
BSX
SNDK
ADBE
WDC
DUK
NOC
HWM
NRG
EQIX
TT
GD
WM
WMB
CVS
ICE
STX
MAR
FDX
PWR
MRSH
ADP
SNPS
UPS
PNC
BX
AMT
JCI
KKR
ABNB
USB
CDNS
BK
FCX
MCO
NKE
SHW
REGN
MMM
ITW
MSI
CMI
EOG
RCL
KMI
ORLY
ECL
EMR
SLB
MDLZ
CTAS
MNST
CSX
PSX
VLO
AON
DASH
CRH
HLT
ROST
MPC
CI
GM
AEP
CL
WBD
RSG
TDG
LHX
HOOD
APO
NSC
TRV
ELV
COR
APD
BKR
FTNT
SRE
DLR
PCAR
SPG
OXY
TEL
CIEN
O
OKE
TFC
AJG
AZO
AFL
FANG
ALL
COIN
MPWR
CTVA
ADSK
D
TGT
TRGP
VST
FAST
GWW
EA
KEYS
FIX
NXPI
CARR
NDAQ
AME
ZTS
CAH
EXC
XEL
PSA
TER
EW
F
URI
IDXX
ETR
GRMN
DDOG
MET
BDX
KR
YUM
HSY
CMG
CVNA
DAL
PYPL
WAB
FITB
EQT
MSCI
AMP
CBRE
EBAY
ROK
DHI
AXON
AIG
PEG
ODFL
ED
SYY
VTR
HIG
TTWO
NUE
XYZ
WEC
ROP
LVS
TPL
KDP
LYV
CCI
WDAY
MCHP
MLM
VMC
STT
KVUE
PAYX
ACGL
EME
RMD
PRU
KMB
ADM
GEHC
CPRT
IR
EL
A
CCL
HAL
HBAN
OTIS
FISV
IRM
UAL
IBKR
MTB
DVN
ATO
WAT
CTSH
DTE
AEE
CBOE
HPE
TPR
XYL
EXPE
VICI
TDY
DOV
RJF
IQV
FE
JBL
EXR
PPL
WTW
VRSK
DG
CNP
CHTR
EIX
BIIB
AWK
STZ
HUBB
FICO
DOW
EXE
FIS
ROL
CTRA
NTRS
DXCM
ES
MTD
KHC
CINF
CFG
WRB
FOXA
STLD
TSCO
ARES
SWK
BBY
DLTR
SMCI
IP
WY
GPN
K
LUV
LII
TKO
DECK
WSM
RF
KEY
COO
EWBC
ILMN
GDDY
TROW
BR
PPG
GIS
SNA
LEN
MOH
DD
HES
IFF
AES
CNC
ON
VLTO
PKG
FSLR
GPC
BAX
STE
NTAP
ANSS
MAS
FOX
TYL
LULU
DRI
ZBRA
HOLX
CLX
FTV
HPQ
WLK
LNT
CE
MKC
NDSN
APTV
BALL
SYF
FDS
EXPD
ALGN
CDW
LDOS
TRMB
PTC
AVB
AVY
NVR
EQR
JKHY
IEX
CAG
MAA
CHD
PHM
TXT
ESS
MKTX
INVH
UTHR
J
WAL
LKQ
GEN
BRO
BAH
HAS
ERIE
POOL
HST
EG
LYB
UDR
WBS
RL
SW
CTLT
L
RVTY
AMCR
CRL
CPB
AIZ
PNR
RHI
JNPR
CHRW
BF-B
PARA
MGM
REG
AOS
TECH
BIO
BBWI
IPG
ALLE
WYNN
FFIV
NCLH
DAY
KIM
DVA
APA
GNRC
CPT
EMN
NI
BEN
MHK
FMC
HRL
TFX
CZR
BG
CF
IVZ
PNW
SOLV
BWA
PAYC
ENPH
WBA
GL
MTCH
ALB
HSIC
JBHT
